T	arabesq	-	-	-	mouse	-	-	-	y	Arabesque - Shoujo-tachi no Orinasu Ai no Monogatari
T	aressh3	-	-	-	mouse	-	-	-	y	A.III - A Ressha de Ikou III
T	aressh4	-	-	-	mouse	-	-	y	-	AIV - A Ressha de Ikou 4 (1993-12-15 04:00:00)
T	aressh4m	-	-	-	-	-	-	-	-	AIV - A Ressha de Ikou 4 - Map Construction + Power-Up Kit
T	aressh4o	-	-	-	mouse	-	-	y	-	AIV - A Ressha de Ikou 4 (1993-12-15 01:00:00)
T	arquelph	-	-	-	mouse	-	-	-	y	Arquelphos
T	arsrent	-	-	-	-	-	-	-	-	ARS Art RentaLease - Kaiga Fukugou Kensaku System
T	aska	-	-	-	-	-	-	-	y	Aska Towns
T	asu120ex	-	-	-	pad	-	-	y	-	Asuka 120% Burning Fest. Excellent
T	asuka120	-	-	-	-	-	-	-	-	Asuka 120% Burning Fest.
T	asuka120_cracked	-	-	-	-	-	-	-	-	Asuka 120% Burning Fest. (cracked)
T	atlas	-	-	-	mouse	-	-	-	y	The Atlas
T	atlas2	-	-	-	mouse	-	-	y	y	The Atlas II
T	autodm93	-	orig	-	-	-	-	-	-	Auto Demo '93 Fuyu
T	awesome	-	-	-	-	-	-	-	-	Awesome
T	ayareiks	-	-	-	mouse	-	-	-	-	Doushite Ii ka Wakaranai - Ayanami Rei Kannou Shashin-shuu
T	ayayo123	-	-	-	mouse	-	-	-	-	Hatchake Ayayo-san 1-2-3
T	ayayo4	-	-	-	-	-	-	-	-	Hacchake Ayayo-san IV - Sexy Olympic / Ayayo's Live Affection
T	ayumi	-	-	-	mouse	-	-	y	-	Ayumi-chan Monogatari
T	ayumihint	-	-	-	-	-	-	-	-	Ayumi-chan Monogatari Hint Disk
T	ayumijb	-	-	-	mouse	-	-	-	y	Ayumi-chan Monogatari - Jisshaban
T	azure	-	-	-	-	-	-	-	-	Azure
T	bacta12v	-	-	-	mouse	-	-	-	y	Bacta 1 & 2 + Voice
T	bandkun	-	-	-	mouse	-	-	-	y	Band-kun
T	batchess	-	-	-	mouse	-	-	-	y	Battle Chess
T	batfght2	4M	-	-	-	-	-	-	-	Battle Fighters 2 - Yume o Kaketa Tatakai
T	batfght3	-	-	-	-	-	-	-	-	Battle Fighters 3 - Inishie no Jashin Densetsu
T	batfight	4M	-	-	-	-	-	-	-	Haou Soudatsu Battle Fighters
T	battle	-	-	-	mouse	-	-	-	y	Battle
T	bau	-	-	-	-	-	-	-	-	Bau
T	bbraker3	-	-	-	-	-	-	-	-	B-Braker 3
T	beast	-	-	-	-	-	-	-	-	Shadow of the Beast - Mashou no Okite (1991-10-11)
T	beast2	-	-	-	-	-	-	-	-	Shadow of the Beast II - Juushin no Jubaku
T	beast3	-	-	-	-	-	-	-	y	Beast III
T	beasto	-	-	-	-	-	-	-	-	Shadow of the Beast - Mashou no Okite (1991-08-29)
T	beatles2	-	-	-	mouse	-	-	-	-	Remember Beatles No. 2 - Michelle
T	beatles4	-	-	-	mouse	-	-	-	-	Remember Beatles No. 4 - Let It Be
T	beatles5	-	-	-	mouse	-	-	-	-	Remember Beatles No. 5 - The Long and Winding Road
T	beatles6	-	-	-	mouse	-	-	-	-	Remember Beatles No. 6 - Imagine
T	bellsav1	-	-	-	mouse	-	-	y	-	Bell's Avenue Vol. 1
T	bellsav2	-	-	-	mouse	-	-	y	-	Bell's Avenue Vol. 2
T	bellsav3	-	-	-	mouse	-	-	-	y	Bell's Avenue Vol. 3
T	bestplay	-	-	-	mouse	-	-	-	y	The Best Play Baseball
T	bfmaria	-	-	-	mouse	-	-	y	-	Ballade for Maria
T	biblemas	-	-	-	mouse	-	-	y	-	Bible Master - Crash of the BlleotRutz
T	biblemas2	-	-	-	mouse	-	-	y	-	Bible Master 2 - The Chaos of Aglia
T	bighonor	-	-	-	mouse	-	-	-	y	Big Honour
T	birdland	4M	gs	-	mouse	-	-	-	-	Toshiyuki Yoshino - Lullaby of BirdLand
T	blandia	-	-	-	-	-	-	-	-	Blandia
T	bliss1	-	-	-	-	-	-	-	-	Bliss Collection #01 - Whips Ct. 1
T	bliss2	-	-	-	-	-	-	-	-	Bliss Collection #02 - Vips
T	bliss2a	-	-	-	-	-	-	-	-	Bliss Collection #02 - Vips (alt)
T	bliss3	-	-	-	mouse	-	-	-	-	Bliss Collection #03 - Whips Ct. 2 Pro
T	bliss7	-	-	-	mouse	-	-	-	-	Bliss Collection #07 - Whips Ct. 4
T	blue	-	-	-	mouse	-	-	-	y	Blue - Will to Power
T	brandish	-	-	-	mouse	-	-	-	y	Brandish
T	branmar2	-	-	-	mouse	-	-	-	y	Branmarker 2
T	branmark	-	-	-	-	-	-	-	y	Branmarker
T	breaktow	-	-	-	-	-	-	-	-	Break of Tower
T	bublbobl	-	-	-	-	-	-	-	-	Bubble Bobble
T	bunkun	-	-	-	-	-	-	-	-	Bun-kun Series - Youji Kiso Nouryoku Training Soft Set
T	burai	-	-	-	-	-	-	-	y	Burai Joukan
T	burai2	-	-	-	-	-	-	-	-	Burai Kanketsu-hen
T	c_1rangershipestel	-	-	-	mouse	-	-	-	-	統一戦争史 第1話「遊撃艦エステル」) Rangership Estel, The (
T	c_adayinlifeof204938mankilonokokuu	-	-	-	mouse	-	-	-	y	A Day in the Life of 2049 - 38 Man Kilo no Kokuu
T	c_adddragonsofflame	-	-	-	-	-	-	-	y	AD&D - Dragons of Flame
T	c_addheroesoflance	-	-	-	-	-	-	-	y	AD&D - Heroes of Lance
T	c_alicenoyakatacd3	-	-	-	mouse	-	-	-	y	Alice no Yakata CD III
T	c_allbishoujoextra	-	-	-	-	-	-	-	-	All Bishoujo Extra
T	c_alltynex	-	-	-	-	-	-	-	-	Alltynex
T	c_arcadia	-	-	-	-	-	-	-	-	Arcadia
T	c_artcgno10rengeso	-	-	-	-	-	-	-	-	Art CG No. 10 – Renge So
T	c_babobippashitsu	-	-	-	-	-	-	-	-	Babobippashitsu (ばぼびっぱしっ☆)
T	c_battleshipwavesv30	-	-	-	mouse	-	-	-	-	Battleship Waves (戦艦波高し) V3.0
T	c_billionareokumanchouja2	-	-	-	mouse	-	-	-	y	Billionare - Okumanchouja II
T	c_blandiaplus	-	-	-	-	-	-	-	-	Blandia Plus
T	c_branmarker2extradisc	-	-	-	mouse	-	-	-	-	Branmarker 2 Extra Disc
T	c_bunkun1sentakutokioku	-	-	-	-	-	-	-	-	Bun-kun – 1 – Sentaku to Kioku
T	c_bunkun2houkoutomeiro	-	-	-	-	-	-	-	-	Bun-kun – 2 – Houkou to Meiro
T	c_bunkun3soujitojunretsu	-	-	-	-	-	-	-	-	Bun-kun – 3 – Souji to Junretsu
T	c_bunretsushugoshintwinklestar	-	-	-	-	-	-	-	-	Bunretsu Shugoshin Twinkle Star
T	c_buraigekankanketsuhen	-	-	-	-	-	-	-	y	Burai - Gekan Kanketsu-hen
T	c_cannonsight	-	-	-	-	-	-	-	-	Cannon Sight
T	c_castles2siegeconquest	-	-	-	mouse	-	-	-	y	Castles II - Siege and Conquest
T	c_cdlearningsystemnewhorizonenglishcourse1	-	-	-	-	-	-	-	-	CD Learning System – New Horizon English Course 1
T	c_cdlearningsystemnewhorizonenglishcourse2	-	-	-	-	-	-	-	-	CD Learning System – New Horizon English Course 2
T	c_collectordbangaihen	-	-	-	mouse	-	-	-	y	Collector D – Bangai-hen
T	c_cowpanic	6M	-	-	-	-	-	-	-	Cow Panic (牛さん☆ぱにっく)
T	c_crescent	-	-	-	-	-	-	-	-	Crescent
T	c_crescentmoon	-	-	-	-	-	-	-	y	Crescent Moon
T	c_crigokanpack	-	-	-	-	-	-	-	-	CRI Gokan Pack
T	c_daisenryaku390mapcollectionvol2	-	-	-	-	-	-	-	-	Daisenryaku III '90 Map Collection Vol. 2
T	c_darkdungeon	-	-	-	-	-	-	-	-	Dark Dungeon + (ダーク・ダンジョン＋)
T	c_deadforceshinseikikouboushi	-	-	-	mouse	-	-	-	y	Dead Force – Shinseiki Kouboushi
T	c_dokidokidisccdbanvol1	-	-	-	mouse	-	-	-	-	Doki Doki Disc CD-ban Vol 1
T	c_dokidokidisccdbanvol2	-	-	-	mouse	-	-	-	-	Doki Doki Disc CD-ban Vol 2
T	c_dokidokidisccdbanvol3	-	-	-	mouse	-	-	-	-	Doki Doki Disc CD-ban Vol 3
T	c_dorpart1	-	-	-	pad	-	-	-	-	DOR Part 1
T	c_dorpart2	-	-	-	pad	-	-	-	-	DOR Part 2
T	c_dragonstreasure2	-	-	-	-	-	-	-	-	ドラゴンの秘宝 完結編 リニューアル版) Dragon's Treasure II (Revised) ( II
T	c_dragonstreasureprologue	-	-	-	-	-	-	-	-	ドラゴンの秘宝 序章－戦神伝説－改変版) Dragon's Treasure Prologue (
T	c_eikanwakimini3kkyakyzenkokutaikai	-	-	-	-	-	-	-	-	Eikan wa Kimi ni 3 - Kōkō Yakyū Zenkoku Taikai
T	c_erandetameserutaikensofthighlight20	-	-	-	-	-	-	y	-	Erande Tameseru Taiken Soft – Highlight 20
T	c_excitingcd20	-	-	-	mouse	-	-	-	-	Exciting CD 20
T	c_eyeofbeholder2	-	-	-	mouse	-	-	-	y	Eye of the Beholder 2
T	c_floppybunko03bishoujographicdatashuuvol1	-	-	-	-	-	-	-	-	Floppy Bunko 03 - Bishoujo Graphic Data Shuu Vol. 1
T	c_floppybunko04bishoujographicdatashuuvol2	-	-	-	-	-	-	-	-	Floppy Bunko 04 - Bishoujo Graphic Data Shuu Vol. 2
T	c_floppybunko06bishoujographicdatashuuvol3	-	-	-	-	-	-	-	-	Floppy Bunko 06 - Bishoujo Graphic Data Shuu Vol. 3
T	c_floppybunko09bishoujographicdatashuuvol4	-	-	-	-	-	-	-	-	Floppy Bunko 09 - Bishoujo Graphic Data Shuu Vol. 4
T	c_floppybunko1	-	-	-	-	-	-	-	-	Floppy Bunko 1
T	c_floppybunko10allbishoujoartgraphicsvol1	-	-	-	-	-	-	-	-	Floppy Bunko 10 - All Bishoujo Art Graphics Vol. 1
T	c_floppybunko11listenersclub0990vol2	-	-	-	-	-	-	-	-	Floppy Bunko 11 - Listener's Club 0990 Vol. 2
T	c_floppybunko12	-	-	-	-	-	-	-	-	Floppy Bunko 12
T	c_floppybunko13bishoujographicdatashuuvol5	-	-	-	-	-	-	-	-	Floppy Bunko 13 - Bishoujo Graphic Data Shuu Vol. 5
T	c_floppybunko14sadisticgamerssyndromeepiso	-	-	-	-	-	-	-	-	Floppy Bunko 14 – Sadistic Gamers Syndrome – Episode 1
T	c_floppybunko15bishoujographicdatashuuvol6	-	-	-	-	-	-	-	-	Floppy Bunko 15 - Bishoujo Graphic Data Shuu Vol. 6
T	c_floppybunko16bishoujographicdatashuuvol7	-	-	-	-	-	-	-	-	Floppy Bunko 16 - Bishoujo Graphic Data Shuu Vol. 7
T	c_floppybunko17allbishoujoartgraphicsvol2	-	-	-	-	-	-	-	-	Floppy Bunko 17 - All Bishoujo Art Graphics Vol. 2
T	c_floppybunko18bishoujographicdatashuuvol8	-	-	-	-	-	-	-	-	Floppy Bunko 18 - Bishoujo Graphic Data Shuu Vol. 8
T	c_floppybunko19bishoujographicdatashuuvol9	-	-	-	-	-	-	-	-	Floppy Bunko 19 - Bishoujo Graphic Data Shuu Vol. 9
T	c_floppybunko2	-	-	-	-	-	-	-	-	Floppy Bunko 2
T	c_floppybunko20allbishoujoartgraphicsvol3	-	-	-	-	-	-	-	-	Floppy Bunko 20 - All Bishoujo Art Graphics Vol. 3
T	c_floppybunko21allbishoujoartgraphicsvol4	-	-	-	-	-	-	-	-	Floppy Bunko 21 - All Bishoujo Art Graphics Vol. 4
T	c_floppybunko22bishoujographicdatashuuvol1	-	-	-	-	-	-	-	-	Floppy Bunko 22 - Bishoujo Graphic Data Shuu Vol. 10
T	c_floppybunko23	-	-	-	-	-	-	-	-	Floppy Bunko 23
T	c_floppybunko24sadisticgamerssyndromeepiso	-	-	-	-	-	-	-	-	Floppy Bunko 24 – Sadistic Gamers Syndrome – Episode 2
T	c_floppybunko25sadisticgamerssyndromeepiso	-	-	-	-	-	-	-	-	Floppy Bunko 25 – Sadistic Gamers Syndrome – Episode 3
T	c_floppybunko5	-	-	-	-	-	-	-	-	Floppy Bunko 5
T	c_floppybunko7	-	-	-	-	-	-	-	-	Floppy Bunko 7
T	c_floppybunko8	-	-	-	-	-	-	-	-	Floppy Bunko 8
T	c_flyballguy	6M	-	-	-	-	-	-	-	Fly! Ball Guy (翔べ！ボール野郎)
T	c_flyingcarpet	-	-	-	-	-	-	-	-	Flying Carpet (フライングカーペット)
T	c_fmseriessoftwaretaikenbancd	-	-	-	-	-	-	-	-	FM Series Software Taikenban CD (Windows 3.1)
T	c_fmtownsdemonstartioncdgalaxyoffmtowns	-	-	-	-	-	-	-	-	FM Towns Demonstartion CD – The Galaxy of FM Towns
T	c_frecollemarty1freesoftwarecollection	-	-	-	-	-	-	-	-	FreColle Marty 1 – Free Software Collection
T	c_freesoftwarecollection1	-	-	-	mouse	-	-	-	-	Free Software Collection 1
T	c_freesoftwarecollection2	-	-	-	mouse	-	-	-	-	Free Software Collection 2
T	c_freesoftwarecollection3	-	-	-	mouse	-	-	-	-	Free Software Collection 3
T	c_fujitsuairwarrior	-	-	-	mouse	-	-	y	-	Fujitsu Air Warrior (V1.1)
T	c_fukkatsusaiasticayanomajo	-	-	-	-	-	-	-	-	Fukkatsusai - Asticaya no Majo
T	c_futopparano1	-	-	-	-	-	-	-	-	Futoppara No 1 (FD Heisei)
T	c_futopparano10	-	-	-	-	-	-	-	-	Futoppara No 10 (FD Heisei)
T	c_futopparano2	-	-	-	-	-	-	-	-	Futoppara No 2 (FD Heisei)
T	c_futopparano3	-	-	-	-	-	-	-	-	Futoppara No 3 (FD Heisei)
T	c_futopparano4	-	-	-	-	-	-	-	-	Futoppara No 4 (FD Heisei)
T	c_futopparano5	-	-	-	-	-	-	-	-	Futoppara No 5 (FD Heisei)
T	c_futopparano6	-	-	-	-	-	-	-	-	Futoppara No 6 (FD Heisei)
T	c_futopparano7	-	-	-	-	-	-	-	-	Futoppara No 7 (FD Heisei)
T	c_futopparano8	-	-	-	-	-	-	-	-	Futoppara No 8 (FD Heisei)
T	c_futopparano9	-	-	-	-	-	-	-	-	Futoppara No 9 (FD Heisei)
T	c_gamejang	-	-	-	mouse	-	-	y	-	Game Jang+
T	c_garoudensetsuspecial	-	-	-	-	-	-	-	-	Garou Densetsu Special
T	c_gingayuukyoudensetsurctobacker	-	-	-	-	-	-	-	-	Ginga Yuukyou Densetsu RC Tobacker
T	c_go2	-	-	-	mouse	-	-	-	-	Go II
T	c_godojoyaburi	-	-	-	mouse	-	-	-	-	Go Dojo Yaburi
T	c_goh2	-	-	-	mouse	-	-	y	-	Goh II
T	c_gokanshi	-	-	-	-	-	-	-	-	Gokanshi
T	c_grapharmony	-	-	-	mouse	-	-	-	-	Grapharmony (V1.0)
T	c_guppybeater	6M	-	-	-	-	-	-	-	Guppy Beater (ぎょっぴーべーだー)
T	c_hanayoridango	-	-	-	-	-	-	-	-	Hana Yori Dango
T	c_hashirionna2runninggirls	-	-	-	-	-	-	y	-	Hashiri Onna II - Running Girls
T	c_highcolor	-	-	-	-	-	-	-	-	High Color (牌唐)
T	c_highschoolwar	-	-	-	pad	-	-	-	y	High School War
T	c_honoonoiya	-	-	-	-	-	-	-	-	Honoo no Iya
T	c_hypereigogakushuusystemnewcrownenglish1	-	-	-	mouse	-	-	-	-	Hyper Eigo Gakushuu System - New Crown English 1 (Rev A)
T	c_hypereigogakushuusystemnewcrownenglish2	-	-	-	mouse	-	-	-	-	Hyper Eigo Gakushuu System - New Crown English 2 (Rev B)
T	c_if	-	-	-	mouse	-	-	-	y	If
T	c_if2	-	-	-	mouse	-	-	-	y	If 2
T	c_if3	-	-	-	mouse	-	-	-	y	If 3
T	c_iitabi2ajigoannaifurusatokodzutsumikanpo	-	-	-	-	-	-	-	-	IiTabi Ii Aji Goannai – Furusato Kodzutsumi & Kanpo no Yado
T	c_image2	-	-	-	-	-	-	-	-	Image 2
T	c_intruder	-	-	-	-	-	-	-	y	Intruder
T	c_ironfist	-	-	-	-	-	-	-	-	Iron Fist (Revised Version)
T	c_japanprofessionalfootballleague1994	-	-	-	-	-	-	-	-	Japan Professional Football League 1994
T	c_junkender	-	-	-	-	-	-	-	-	Junkender (ジャンケンダー)
T	c_kamigaminodaichikojikigaiden	-	-	-	-	-	-	-	-	Kamigami No Daichi - Kojiki Gaiden
T	c_kikoushidan2panzerdivision	-	-	-	mouse	-	-	y	y	Kikou Shidan II – Panzer Division
T	c_kounaishaseivol1yonimohnamonogatari	-	-	-	-	-	-	-	-	Kounai Shasei Vol.1 - Yonimo H na Monogatari
T	c_kuronver10	6M	-	-	mouse	-	-	-	-	Kuron (くうろん) Ver 1.0
T	c_kuuchisuunoooiwindows	-	-	-	-	-	-	-	-	Kuuchisuu no Ooi Windows
T	c_lammal	-	-	-	-	-	-	-	-	Lam-Mal
T	c_legendofkyrandia2handoffate	-	-	-	mouse	-	-	-	y	Legend of Kyrandia 2 - Hand of Fate
T	c_legendsofvalourdemo	-	-	-	-	-	-	-	-	Legends of Valour Demo
T	c_lelle	-	-	-	mouse	-	2	-	-	L Elle
T	c_lemmings2	-	-	-	mouse	-	-	-	y	Lemmings 2
T	c_littlebigadventure	-	-	-	-	-	-	-	-	Little Big Adventure
T	c_littleredridinghoodv13	-	-	-	-	-	-	-	-	Little Red Riding Hood (赤ずきん) V1.3
T	c_looperaser	-	-	-	-	-	-	-	-	Loop Eraser
T	c_loopiginahinokaikiten	-	-	-	-	-	-	-	-	Loop - Iginahi no Kaikiten
T	c_lotr2yubiwamonogataridaiikkanfutatsunoto	-	-	-	mouse	-	-	-	y	LotR II - Yubiwa Monogatari Daiikkan - Futatsu no Tou
T	c_lotriyubiwamonogataridaiikkantabinonakam	-	-	-	mouse	-	-	-	y	LotR I - Yubiwa Monogatari Daiikkan - Tabi no Nakama
T	c_lupin3rdhongkongnomashu	-	-	none	mouse	-	-	-	y	Lupin the 3rd - Hong Kong no Mashu
T	c_lzone	-	-	-	-	-	-	-	-	L Zone
T	c_mahjongcliniczoukangou	-	-	-	-	-	-	-	-	Mahjong Clinic Zoukangou
T	c_mahjonggensoukyoku	-	-	-	-	-	-	-	-	Mahjong Gensoukyoku (Mahjong Fantasia)
T	c_mahjongsaikyoumusashi	-	-	-	-	-	-	-	y	Mahjong Saikyou Musashi
T	c_mahjongyuuenchi	-	-	-	mouse	-	-	-	-	Mahjong Yuuenchi
T	c_manaminodokomadeikuno	-	-	-	-	-	-	-	-	Manami no Doko made Iku no?
T	c_masaikojan	-	-	-	mouse	-	-	-	-	Ma Saiko Jan
T	c_mastercdfreshinstallmodelyou	-	-	-	-	-	-	-	-	Master CD – Fresh Install Model-you
T	c_microsfotwindows31	-	-	-	-	-	-	-	-	Microsfot Windows 3.1 (L11)
T	c_microsoftwindows31	-	-	-	-	-	-	-	-	Microsoft Windows 3.1 (L10)
T	c_microsoftwindows95fmtownsyoudrivers	-	-	-	-	-	-	-	-	Microsoft Windows 95 FM Towns-you Drivers (V1.1 L10)
T	c_microsoftwindows95fmtownsyouupgrade	-	-	-	-	-	-	-	-	Microsoft Windows 95 FM Towns-you Upgrade
T	c_millenium	-	-	-	mouse	-	-	-	-	Millenium
T	c_millionairesacademy	-	-	-	-	-	-	-	-	Millionaire’s Academy
T	c_mirumirusagasukonchuuseriesvol3	-	-	-	-	-	-	-	-	Mirumiru Sagasu Konchuu Series Vol 3
T	c_mister	-	-	-	-	-	-	-	-	Mister (The Great Detective Appears)
T	c_mistymeitanteitoujou1	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 1
T	c_mistymeitanteitoujou2	-	-	-	mouse	-	-	-	-	Misty - Meitantei Toujou 2
T	c_mistymeitanteitoujou3	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 3
T	c_mistymeitanteitoujou4	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 4
T	c_mistymeitanteitoujou5	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 5
T	c_mistymeitanteitoujou6	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 6
T	c_mistymeitanteitoujou7	-	-	-	-	-	-	-	-	Misty - Meitantei Toujou 7
T	c_mistymeitanteitoujoucdcollection	-	-	-	mouse	-	-	-	y	Misty - Meitantei Toujou CD Collection
T	c_monkeyisland	-	-	-	mouse	-	-	-	y	Monkey Island
T	c_monkeyturtlever103b	-	-	-	mouse	-	-	-	-	Monkey Turtle (猿亀) Ver.1.03b
T	c_mooncrystal	-	-	-	-	-	-	-	-	Moon Crystal
T	c_msdetectivefile1iwamiginzanmurdercase	-	-	-	mouse	-	-	y	y	Ms. Detective File #1 - Iwami Ginzan Murder Case
T	c_multimediacomvirtualtowncomputergakushuu	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Computer Gakushuu Program Gakushuu
T	c_multimediacomvirtualtowncomputergraphics	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Computer Graphics Sakuhin
T	c_multimediacomvirtualtowngamecollection	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Game Collection
T	c_multimediacomvirtualtownmartyhyoukeisanf	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Marty Hyoukeisan File
T	c_multimediacomvirtualtownmartyworprobunsh	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Marty WorPro Bunsho
T	c_multimediacomvirtualtownmusicsakuhin	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Music Sakuhin
T	c_multimediacomvirtualtownphotocollections	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Photo Collection Sakuhin
T	c_multimediacomvirtualtowntsuushinprogramc	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program Communication
T	c_multimediacomvirtualtowntsuushinprogramg	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program Game Library
T	c_multimediacomvirtualtowntsuushinprogramg_2	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program Gazou Souko
T	c_multimediacomvirtualtowntsuushinprogrami	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program ID
T	c_multimediacomvirtualtowntsuushinprogramk	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program Kuruma Jouhou Uranai
T	c_multimediacomvirtualtowntsuushinprogramt	-	-	-	-	-	-	-	-	Multimedia Com. Virtual Town - Tsuushin Program TC Yobikou
T	c_networkqracrally	-	gs	mouse	pad	-	-	-	y	Network Q RAC Rally
T	c_nhkjisseneikawaenglishconversation	-	-	-	-	-	-	-	-	NHK Jissen Eikawa – English Conversation (Rev A)
T	c_nightmarecollectionmarinephilt	-	-	-	mouse	-	-	-	y	Nightmare Collection - Marine Philt
T	c_nihongomicrosoftwindowsmmextensions	-	-	-	-	-	-	-	-	Nihongo Microsoft Windows (V3.0) MM Extensions (V1.0 L10)
T	c_onepersoncardgameenola	-	-	-	mouse	-	-	-	-	一人カードゲーム One Person Card Game - Enola ( Enola)
T	c_ongakukyoushitsu	-	-	-	mouse	-	-	-	-	Ongaku Kyoushitsu (Ver. 2.0)
